t(s), cv(%), R($), iR($), C($), iC($), d
394,62.325,9409.711,9820.184,45575353.59,304783.951,16.9
395,62.325,9451.826,9863.006,45575994.8,305555.556,16.9
396,62.325,9497.136,9909.737,45576636,306327.16,16.9
397,62.325,9510.185,9924.604,45577277.21,307098.765,16.9
398,62.325,9534.175,9949.39,45577918.41,307870.37,16.9
399,62.325,9576.868,9996.828,45578559.61,308641.975,16.9
400,62.325,9602.895,10023.306,45579200.82,309413.58,16.9
401,62.325,9615.404,10038.692,45579842.02,310185.185,16.9
402,62.325,9653.265,10080.486,45580483.22,310956.79,16.9
403,62.325,9690.267,10118.504,45581124.43,311728.395,16.9
404,62.325,9715.458,10143.944,45581765.63,312500,16.9
405,62.325,9732.107,10163.285,45582406.83,313271.605,16.9
406,62.325,9766.918,10199.379,45583048.04,314043.21,16.9
407,62.325,9809.034,10242.241,45583689.24,314814.815,16.9
408,62.325,9831.349,10265.97,45584330.45,315586.42,16.9
409,62.325,9855.794,10291.468,45584971.65,316358.025,16.9
410,62.325,9905.263,10342.438,45585612.85,317129.63,16.9
411,62.325,9933.981,10372.495,45586254.06,317901.235,16.9
412,62.325,9953.131,10391.892,45586895.26,318672.84,16.9
413,62.325,9998.079,10437.212,45587536.46,319444.444,16.9
414,62.325,10040.404,10480.994,45588177.67,320216.049,16.9
415,62.325,10064.189,10508.739,45588818.87,320987.654,16.9
416,62.325,10085.282,10530.43,45589460.08,321759.259,16.9
417,62.325,10129.048,10575.116,45590101.28,322530.864,16.9
418,62.325,10171.947,10619.86,45590742.48,323302.469,16.9
419,62.325,10184.238,10632.421,45591383.69,324074.074,16.9
420,62.325,10218.095,10666.454,45592024.89,324845.679,16.9
421,62.325,10262.335,10712.291,45592666.09,325617.284,16.9
422,62.325,10285.624,10735.945,45593307.3,326388.889,16.9
423,62.325,10302.021,10752.965,45593948.5,327160.494,16.9
424,62.325,10342.076,10797.307,45594589.71,327932.099,16.9
425,62.325,10379.289,10835.059,45595230.91,328703.704,16.9
426,62.325,10404.006,10861.181,45595872.11,329475.309,16.9
427,62.325,10423.07,10881.061,45596513.32,330246.914,16.9
428,62.325,10461.141,10919.436,45597154.52,331018.519,16.9
429,62.325,10501.602,10962.015,45597795.72,331790.123,16.9
430,62.325,10517.684,10978.362,45598436.93,332561.728,16.9
431,62.325,10545.738,11008.41,45599078.13,333333.333,16.9
432,62.325,10595.576,11058.713,45599719.33,334104.938,16.9
433,62.325,10625.29,11089.564,45600360.54,334876.543,16.9
434,62.325,10643.226,11107.611,45601001.74,335648.148,16.9
435,62.325,10688.255,11156.226,45601642.95,336419.753,16.9
436,62.325,10731.392,11200.916,45602284.15,337191.358,16.9
437,62.325,10758.07,11230.565,45602925.35,337962.963,16.9
438,62.325,10778.823,11252.111,45603566.56,338734.568,16.9
439,62.325,10823.205,11297.834,45604207.76,339506.173,16.9
440,62.325,10863.724,11340.51,45604848.96,340277.778,16.9
441,62.325,10876.962,11353.968,45605490.17,341049.383,16.9
442,62.325,10914.83,11392.319,45606131.37,341820.988,16.9
443,62.325,10960.86,11439.894,45606772.58,342592.593,16.9
444,62.325,10982.278,11461.825,45607413.78,343364.198,16.9
445,62.325,11001.398,11481.993,45608054.98,344135.802,16.9
446,62.325,11047.22,11528.507,45608696.19,344907.407,16.9
