# t(s), cv(%), R($), iR($), C($), iC($), d
424.000,75.000,3.207,3.207,771.605,771.605,0.000
425.000,75.000,2.015,2.015,771.605,771.605,0.000
426.000,75.000,2.569,2.569,771.605,771.605,0.000
427.000,75.000,1.061,1.061,771.605,771.605,0.000
428.000,75.000,2.306,2.306,771.605,771.605,0.000
429.000,75.000,2.492,2.492,771.605,771.605,0.000
430.000,75.000,0.599,0.599,771.605,771.605,0.000
431.000,75.000,1.440,1.440,771.605,771.605,0.000
432.000,75.000,3.596,3.596,771.605,771.605,0.000
433.000,75.000,0.994,0.994,771.605,771.605,0.000
434.000,75.000,1.405,1.405,771.605,771.605,0.000
435.000,75.000,1.614,1.614,771.605,771.605,0.000
436.000,75.000,3.405,3.405,771.605,771.605,0.000
437.000,75.000,0.888,0.888,771.605,771.605,0.000
438.000,75.000,1.429,1.429,771.605,771.605,0.000
439.000,75.000,4.373,4.373,771.605,771.605,0.000
440.000,75.000,2.502,2.502,771.605,771.605,0.000
441.000,75.000,0.871,0.871,771.605,771.605,0.000
442.000,75.000,1.182,1.182,771.605,771.605,0.000
443.000,75.000,2.616,2.616,771.605,771.605,0.000
444.000,75.000,1.228,1.228,771.605,771.605,0.000
445.000,75.000,0.500,0.500,771.605,771.605,0.000
446.000,75.000,2.601,2.601,771.605,771.605,0.000
447.000,75.000,2.879,2.879,771.605,771.605,0.000
448.000,75.000,1.026,1.026,771.605,771.605,0.000
449.000,75.000,0.839,0.839,771.605,771.605,0.000
450.000,75.000,3.143,3.143,771.605,771.605,0.000
451.000,75.000,2.565,2.565,771.605,771.605,0.000
452.000,75.000,0.898,0.898,771.605,771.605,0.000
453.000,75.000,1.652,1.652,771.605,771.605,0.000
454.000,75.000,2.417,2.417,771.605,771.605,0.000
455.000,75.000,1.931,1.931,771.605,771.605,0.000
456.000,75.000,0.571,0.571,771.605,771.605,0.000
457.000,75.000,2.870,2.870,771.605,771.605,0.000
458.000,75.000,3.212,3.212,771.605,771.605,0.000
459.000,75.000,0.614,0.614,771.605,771.605,0.000
460.000,75.000,1.263,1.263,771.605,771.605,0.000
461.000,75.000,3.210,3.210,771.605,771.605,0.000
462.000,75.000,2.240,2.240,771.605,771.605,0.000
463.000,75.000,0.626,0.626,771.605,771.605,0.000
464.000,75.000,1.964,1.964,771.605,771.605,0.000
465.000,75.000,3.864,3.864,771.605,771.605,0.000
466.000,75.000,1.180,1.180,771.605,771.605,0.000
467.000,75.000,1.070,1.070,771.605,771.605,0.000
468.000,75.000,2.133,2.133,771.605,771.605,0.000
469.000,75.000,1.835,1.835,771.605,771.605,0.000
470.000,75.000,1.256,1.256,771.605,771.605,0.000
471.000,75.000,1.211,1.211,771.605,771.605,0.000
472.000,75.000,2.348,2.348,771.605,771.605,0.000
473.000,75.000,2.081,2.081,771.605,771.605,0.000
474.000,75.000,0.784,0.784,771.605,771.605,0.000
475.000,75.000,2.821,2.821,771.605,771.605,0.000
476.000,75.000,2.281,2.281,771.605,771.605,0.000
477.000,75.000,3.040,3.040,771.605,771.605,0.000
478.000,75.000,0.956,0.956,771.605,771.605,0.000
479.000,75.000,2.067,2.067,771.605,771.605,0.000
480.000,75.000,8.851,8.851,771.605,771.605,0.000
481.000,75.000,1.115,1.115,771.605,771.605,0.000
482.000,75.000,1.610,1.610,771.605,771.605,0.000
483.000,75.000,1.941,1.941,771.605,771.605,0.000
484.000,75.000,3.117,3.117,771.605,771.605,0.000
485.000,75.000,0.769,0.769,771.605,771.605,0.000
486.000,75.000,1.371,1.371,771.605,771.605,0.000
487.000,75.000,3.107,3.107,771.605,771.605,0.000
488.000,75.000,0.814,0.814,771.605,771.605,0.000
489.000,75.000,0.936,0.936,771.605,771.605,0.000
490.000,75.000,4.321,4.321,771.605,771.605,0.000
491.000,75.000,1.924,1.924,771.605,771.605,0.000
492.000,75.000,1.463,1.463,771.605,771.605,0.000
493.000,75.000,1.152,1.152,771.605,771.605,0.000
494.000,75.000,2.479,2.479,771.605,771.605,0.000
